Ontology ID	label	parent class	occurs in
OPL:0000347	Plasmodium vivax ookinete stage	ookinete stage	Anopheles midgut
OPL:0000348	Plasmodium vivax sporozoite stage	sporozoite stage	Anopheles salivary gland|Homo sapiens blood|Homo sapiens hepatocyte
OPL:0000349	Plasmodium vivax merozoite stage	merozoite stage	Homo sapiens erythrocyte
OPL:0000350	Plasmodium vivax gametocyte stage	gametocyte stage	Anopheles midgut|Homo sapiens erythrocyte
OPL:0000351	Plasmodium berghei sporazoite stage	sporozoite stage	Anopheles salivary gland|Homo sapiens blood|Homo sapiens hepatocyte
OPL:0000352	Plasmodium berghei meorzoite stage	merozoite stage	Homo sapiens erythrocyte
OPL:0000353	Neospora caninum tachyzoite stage	tachyzoite stage	Canis
OPL:0000354	Eimeria maxima gametocyte stage	gametocyte stage	Gallus gallus erythrocyte
OPL:0000355	Eimeria tenella sprozoite stage	sporozoite stage	Gallus gallus intestine
OPL:0000356	Eimeria tenella oocyst stage	oocyst stage	Gallus gallus midgut
OPL:0000357	Sarcocystis neurona merozoite stage	merozoite stage	Canis lupus familiaris erythrocyte
OPL:0000358	Sarcocystis neurona sporozoite stage	sporozoite stage	Mammalia muscle tissue
OPL:0000359	Toxoplasma gondii tachyzoite stage	tachyzoite stage	Mammalia
OPL:0000360	Toxoplasma gondii bradyzoite stage	bradyzoite stage	Triatominae
OPL:0000361	Toxoplasma gondii oocysts stage	oocyst stage	Triatominae midgut
OPL:0000362	Leishmania amazonensis promastigote stage	promastigote stage	Mammalia macrophage|Phlebotominae midgut|Phlebotominae proboscis
OPL:0000363	Leishmania amazonensis amastigote stage	amastigote stage	Mammalia macrophage
OPL:0000364	Leishmania donovani promastigote stage	promastigote stage	Homo sapiens macrophage|Phlebotominae midgut|Phlebotominae proboscis
OPL:0000365	Leishmania donovani amastigote stage	amastigote stage	Homo sapiens macrophage
OPL:0000366	Leishmania infantum promastigote stage	promastigote stage	Mammalia macrophage|Phlebotominae midgut|Phlebotominae proboscis
OPL:0000367	Leishmania infantum amastigote stage	amastigote stage	Mammalia macrophage
OPL:0000374	Plasmodium vivax lifecycle stage	parasite lifecycle stage	
OPL:0000375	Plasmodium berghei lifecycle stage	parasite lifecycle stage	
OPL:0000376	Neospora caninum lifecycle stage	parasite lifecycle stage	
OPL:0000377	Eimeria maxima lifecycle stage	parasite lifecycle stage	
OPL:0000378	Eimeria tenella lifecycle stage	parasite lifecycle stage	
OPL:0000379	Sarcocystis neurona lifecycle stage	parasite lifecycle stage	
OPL:0000380	Toxoplasma gondii lifecycle stage	parasite lifecycle stage	
OPL:0000381	Leishmania amazonensis lifecycle stage	parasite lifecycle stage	
OPL:0000382	Leishmania donovani lifecycle stage	parasite lifecycle stage	
OPL:0000383	Leishmania infantum lifecycle stage	parasite lifecycle stage	
OPL:0000399	Plasmodium yoelii ookinete stage	ookinete stage	Anopheles midgut
OPL:0000400	Plasmodium yoelii sporozoite stage	sporozoite stage	
OPL:0000401	Plasmodium yoelii merozoite stage	merozoite stage	Primates erythrocyte
OPL:0000402	Plasmodium yoelii gametocyte stage	gametocyte stage	Primates erythrocyte
OPL:0000403	Plasmodium chabaudi ookinete stage	ookinete stage	Anopheles midgut
OPL:0000404	Plasmodium chabaudi sporozoite stage	sporozoite stage	
OPL:0000405	Plasmodium chabaudi merozoite stage	merozoite stage	Primates erythrocyte
OPL:0000406	Plasmodium chabaudi gametocyte stage	gametocyte stage	Primates erythrocyte
OPL:0000407	Plasmodium knowlesi ookinete stage	ookinete stage	Anopheles midgut
OPL:0000408	Plasmodium knowlesi sporozoite stage	sporozoite stage	
OPL:0000409	Plasmodium knowlesi merozoite stage	merozoite stage	Primates erythrocyte
OPL:0000410	Plasmodium knowlesi gametocyte stage	gametocyte stage	Primates erythrocyte
OPL:0000411	Eimeria acervulina merozoite stage	merozoite stage	Gallus gallus erythrocyte
OPL:0000412	Cryptosporidium parvum oocyst stage	oocyst stage	
OPL:0000413	Cryptosporidium parvum sporozoite stage	sporozoite stage	
OPL:0000421	Neospora caninum bradyzoite stage	bradyzoite stage	Bos taurus
