Ontology ID	label	logical type	parent class	located in	participates in	has role
OPL:0000162	Plasmodium falciparum exflagellated microgametocyte	subclass	Plasmodium falciparum microgametocyte	Anopheles midgut	Plasmodium falciparum exflagellated microgametocyte stage	
OPL:0000258	Plasmodium falciparum gamete	subclass	Plasmodium falciparum	Anopheles midgut	Plasmodium falciparum gamete stage	
OPL:0000167	Plasmodium falciparum macrogamete	subclass	Plasmodium falciparum gamete	Anopheles midgut	Plasmodium falciparum macrogamete stage	
OPL:0000174	Plasmodium falciparum microgamete	subclass	Plasmodium falciparum gamete	Anopheles midgut	Plasmodium falciparum microgamete stage	
OPL:0000138	Plasmodium falciparum oocyst	subclass	Plasmodium falciparum	Anopheles midgut	Plasmodium falciparum oocyst stage	
OPL:0000089	Plasmodium falciparum ookinete	subclass	Plasmodium falciparum	Anopheles midgut	Plasmodium falciparum ookinete stage	
OPL:0000161	Plasmodium falciparum zygote	subclass	Plasmodium falciparum	Anopheles midgut	Plasmodium falciparum zygote stage	
OPL:0000249	Plasmodium falciparum gametocyte	subclass	Plasmodium falciparum	Anopheles midgut|Homo sapiens erythrocyte	Plasmodium falciparum gametocyte stage	
OPL:0000206	Plasmodium falciparum macrogametocyte	subclass	Plasmodium falciparum gametocyte	Anopheles midgut|Homo sapiens erythrocyte	Plasmodium falciparum macrogametocyte stage	
OPL:0000050	Plasmodium falciparum microgametocyte	subclass	Plasmodium falciparum gametocyte	Anopheles midgut|Homo sapiens erythrocyte	Plasmodium falciparum microgametocyte stage	
OPL:0000137	Plasmodium falciparum sporozoite	subclass	Plasmodium falciparum	Anopheles salivary gland|Homo sapiens blood|Homo sapiens hepatocyte	Plasmodium falciparum sporozoite stage	
OPL:0000191	Schistosoma mansoni daughter sporocyst	subclass	Schistosoma mansoni sporocyst	Biomphalaria hepatopancreas	Schistosoma mansoni daughter sporocyst stage	
OPL:0000109	Schistosoma haematobium daughter sporocyst	subclass	Schistosoma haematobium sporocyst	Bulinus hepatopancreas	Schistosoma haematobium daughter sporocyst stage	
OPL:0000031	Trypanosoma brucei procyclic trypomastigote	subclass	Trypanosoma brucei trypomastigote	Glossina midgut	Trypanosoma brucei procyclic trypomastigote stage	
OPL:0000092	Trypanosoma brucei epimastigote	subclass	Trypanosoma brucei	Glossina salivary gland	Trypanosoma brucei epimastigote stage	
OPL:0000034	Trypanosoma brucei metacyclic trypomastigote	subclass	Trypanosoma brucei trypomastigote	Glossina salivary gland|Mammalia blood	Trypanosoma brucei metacyclic trypomastigote stage	
OPL:0000110	Plasmodium falciparum erythrocytic schizont	subclass	Plasmodium falciparum schizont	Homo sapiens erythrocyte	Plasmodium falciparum erythrocytic schizont stage	
OPL:0000244	Plasmodium falciparum erythrocytic trophozoite	subclass	Plasmodium falciparum trophozoite	Homo sapiens erythrocyte	Plasmodium falciparum erythrocytic trophozoite stage	
OPL:0000130	Plasmodium falciparum merozoite	subclass	Plasmodium falciparum	Homo sapiens erythrocyte	Plasmodium falciparum merozoite stage	
OPL:0000060	Plasmodium falciparum schizont	subclass	Plasmodium falciparum	Homo sapiens erythrocyte|Homo sapiens hepatocyte	Plasmodium falciparum schizont stage	
OPL:0000146	Plasmodium falciparum trophozoite	subclass	Plasmodium falciparum	Homo sapiens erythrocyte|Homo sapiens hepatocyte	Plasmodium falciparum trophozoite stage	
OPL:0000190	Plasmodium falciparum hepatic schizont	subclass	Plasmodium falciparum schizont	Homo sapiens hepatocyte	Plasmodium falciparum hepatic schizont stage	
OPL:0000257	Plasmodium falciparum hepatic trophozoite	subclass	Plasmodium falciparum trophozoite	Homo sapiens hepatocyte	Plasmodium falciparum hepatic trophozoite stage	
OPL:0000051	Schistosoma japonicum 7 week worm	subclass	Schistosoma japonicum worm	Homo sapiens intestine|Homo sapiens mesenteric vein	Schistosoma japonicum 7 week worm stage	
OPL:0000053	Schistosoma japonicum 3 week worm	subclass	Schistosoma japonicum worm	Homo sapiens mesenteric vein	Schistosoma japonicum 3 week worm stage	
OPL:0000099	Schistosoma haematobium 3 week worm	subclass	Schistosoma haematobium worm	Homo sapiens urinary bladder	Schistosoma haematobium 3 week worm stage	
OPL:0000087	Schistosoma haematobium 7 week worm	subclass	Schistosoma haematobium worm	Homo sapiens vesical venus plexus	Schistosoma haematobium 7 week worm stage	
OPL:0000182	Trypanosoma brucei trypomastigote	subclass	Trypanosoma brucei	Mammalia blood|Mammalia cerebrospinal fluid	Trypanosoma brucei trypomastigote stage	
OPL:0000116	Trypanosoma cruzi metacyclic trypomastigote	subclass	Trypanosoma cruzi trypomastigote	Mammalia blood|Mammalia macrophage	Trypanosoma cruzi metacyclic trypomastigote stage	
OPL:0000164	Trypanosoma cruzi trypomastigote	subclass	Trypanosoma cruzi	Mammalia blood|Mammalia macrophage|Triatominae hindgut	Trypanosoma cruzi trypomastigote stage	
OPL:0000136	Schistosoma mansoni 7 week worm	subclass	Schistosoma mansoni worm	Mammalia intestine|Mammalia mesenteric vein	Schistosoma mansoni 7 week worm stage	
OPL:0000205	Schistosoma haematobium 3 day schistosomulum	subclass	Schistosoma haematobium schistosomulum	Mammalia liver	Schistosoma haematobium 3 day schistosomulum stage	
OPL:0000201	Schistosoma haematobium 6 day schistosomulum	subclass	Schistosoma haematobium schistosomulum	Mammalia liver	Schistosoma haematobium 6 day schistosomulum stage	
OPL:0000020	Schistosoma japonicum 3 day schistosomulum	subclass	Schistosoma japonicum schistosomulum	Mammalia lung	Schistosoma japonicum 3 day schistosomulum stage	
OPL:0000039	Schistosoma japonicum 6 day schistosomulum	subclass	Schistosoma japonicum schistosomulum	Mammalia lung	Schistosoma japonicum 6 day schistosomulum stage	
