ID,LABEL,alternative term,Type,SubClass Of,Equivalent Class,occurs in,located in,participates in,has part,only in taxon,realizes,part of,has role,has host,has vector,definition,definition source,example of usage,term editor,term tracker item,ontology term requester,comment,editor note
OPL:0000074,Schistosoma haematobium 3 hour schistosomulum stage,S. haematobium 3 hour schistosomulum stage,Class,'occurs in' some 'Mammalia skin','3 hour schistosomulum stage' and ('only in taxon' some 'Schistosoma haematobium'),Mammalia skin,,,,Schistosoma haematobium,,,,,,A 3 hours schistosomulum stage of Schistosoma haematobium that occurs in the definitive host 3 hours post-infection.,,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
OPL:0000075,Plasmodium falciparum macrogamete stage,P. falciparum macrogamete stage,Class,'occurs in' some 'Anopheles midgut','macrogamete stage' and ('only in taxon' some 'Plasmodium falciparum'),Anopheles midgut,,,,Plasmodium falciparum,,,,,,A macrogamete stage in the Plasmodium falciparum lifecycle that occurs in the midgut of a mosquito vector.,,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000076,procyclic trypomastigote stage,,Class,'has part' some 'cell division'|'occurs in' some ('Phlebotominae midgut' or 'Glossina midgut')|trypomastigote stage,,('Phlebotominae midgut' or 'Glossina midgut'),,,cell division,,,,,,,A trypomastigote stage where trypomastigote form of parasites are in dividing form. This stage occurs in fly vector.,,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000077,Schistosoma japonicum schistosomulum,S. japonicum schistosomulum,Class,'participates in' only 'Schistosoma japonicum schistosomulum stage'|Schistosoma japonicum,,,,Schistosoma japonicum schistosomulum stage,,,,,,,,A Schistosoma japonicum in a migratory larval form that is found within blood vessels of the definitive host and develops into the worm.,,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
OPL:0000078,erythrocytic schizont stage,,Class,schizont stage,,,,,,,,,,,,A schizont stage that occurs in erythrocytes where trophozoites mature into a schizont and schizont produces daughter trophozoites or merozoites.,PMID: 11006474,,Chris Stoeckert|Jie Zheng|Matt Berriman and Priti Parikh,,,,
OPL:0000079,Schistosoma haematobium cercaria,S. haematobium cercaria,Class,'participates in' only 'Schistosoma haematobium cercaria stage'|Schistosoma haematobium,,,,Schistosoma haematobium cercaria stage,,,,,,,,A Schistosoma haematobium is the parasitic larval form of the Schistosoma haematobium that develops in a freshwater snail and is released into the water.,,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
OPL:0000080,parasite lifecycle in host liver stage,liver stage,Class,'occurs in' some liver|'only in taxon' some 'parasite organism'|parasite lifecycle stage,,liver,,,,parasite organism,,,,,,"A parasite lifecycle stage that occurs in the liver of the host organism. For Plasmodium species these stages can include sporozoites, trophozoites, schizonts, and merozoites.",EuPathDB,,Chris Stoeckert,,,,
OPL:0000081,Trypanosoma brucei procyclic trypomastigote stage,,Class,'occurs in' some 'Glossina midgut','procyclic promastigote stage' and ('only in taxon' some 'Trypanosoma brucei'),Glossina midgut,,,,Trypanosoma brucei,,,,,,A procyclic promastigote stage in the Trypanosoma brucei lifecycle.,,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000082,parasitic worm stage,,Class,'only in taxon' some 'parasite organism'|parasite lifecycle stage,,,,,,parasite organism,,,,,,"A parasite lifecycle stage of some parasites in which the parasite develops into a worm form, and undergoes maturation.",http://www.path.cam.ac.uk/~schisto/schistosoma/schisto_lifecycle_egg.html,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000083,Bulinus hepatopancreas,,Class,,hepatopancreas and ('part of' some Bulinus),,,,,,,Bulinus,,,,Hepatopancreas that is a part of or originated from a Bulinus snail.,,,Priti Parikh,,,,
OPL:0000084,schizont stage,,Class,'only in taxon' some 'parasite organism'|parasite lifecycle stage,,,,,,parasite organism,,,,,,A parasite lifecycle stage that is the multinucleate stage in the development of some members of the Sarcodina and some sporozoans during schizogony.,http://medical-dictionary.thefreedictionary.com/schizont,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000085,macrogamete stage,,Class,'only in taxon' some 'parasite organism'|gamete stage,,,,,,parasite organism,,,,,,A gamete stage in parasites when macrogametocytes produce macrogametes through the process known as gametogenesis.,http://www.tulane.edu/~wiser/malaria/mal_lc.PDF,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000086,daughter sporocyst stage,,Class,sporocyst stage,,,,,,,,,,,,A sporocyst stage of Trematodes produced by a mother sporocyst; it lacks a gut and is capable of asexual production of either rediae or cercariae.,http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarD.htm,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000087,Schistosoma haematobium 7 week worm,S. haematobium 7 week worm,Class,'located in' some 'Homo sapiens vesical venus plexus'|'participates in' only 'Schistosoma haematobium 7 week worm stage'|Schistosoma haematobium worm,,,Homo sapiens vesical venus plexus,Schistosoma haematobium 7 week worm stage,,,,,,,,"A Schistosoma haematobium worm is the mature form of Schistosoma haematobium and capable of sexual reproduction, which is found in the pelvic blood vessels of the vesicle plexis of the mammal host 7 weeks after infection of the mammal host.",,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
OPL:0000088,Triatominae midgut,,Class,,midgut and ('part of' some Triatominae),,,,,,,Triatominae,,,,A midgut that is a part of or originated from a Triatominae bug.,,,Priti Parikh,,,,
OPL:0000089,Plasmodium falciparum ookinete,P. falciparum ookinete,Class,'located in' some 'Anopheles midgut'|'participates in' only 'Plasmodium falciparum ookinete stage'|Plasmodium falciparum,,,Anopheles midgut,Plasmodium falciparum ookinete stage,,,,,,,,A Plasmodium falciparum that is a 'banana-shaped' form and originates from the round zygote. The ookinete is found in the midgut of a mosquito vector and traverses the midgut wall of a mosquito vector.,Wikipedia: Plasmodium falciparum biology,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000090,Schistosoma mansoni 3 week worm,S. mansoni 3 week worm,Class,'located in' some 'Mammalia mesenteric vein'|'participates in' only 'Schistosoma mansoni 3 week worm stage'|Schistosoma mansoni worm,,,Mammalia mesenteric vein,Schistosoma mansoni 3 week worm stage,,,,,,,,"A Schistosoma mansoni worm that is capable of sexual reproduction, which is found in the small inferior mesenteric blood vessels surrounding the large intestine of the mammal host 3 weeks after infection of the mammalian host.",,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
